!	!, хороший ход, сильный ход
!!	!!, прекрасный ход, блестящий ход
!?	!?, ход, приводящий к неясным осложнениям
-dimensional	-мерный (mérnyj)
nettle	крапива (f) (krapíva)
network	сеть
neuter	кастрировать (kastrírovat’) "impf./pf.", обесплодить (obesplódit’) "pf."
neuter	средний (srédnij) (2), непереходный (neperekhódnyj) (3), бесполный (bespólnyj) (4), нейтральный
neuter	средний род (srédnij rod) (2)
neutrino	нейтрино (m) (nejtrino or neytrino)
neutron	нейтрон (n'ejtrón) (m)
neutron star	нейтронная звезда (n'ejtrónnaja zv'ezdá) (f)
never	никогда (nikogdá)
nevertheless	тем не менее (tem ne méneje)
new	новый (nóvyj) (m)
new	новый (nóvyj) (m)
new	новый (nóvyj) (m)
new	новый (nóvyj) (m)
new	новый (nóvyj) (m)
new	новый (nóvyj) (m)
new	новый (nóvyj) (m)
new	новый (nóvyj) (m)
new	новый (nóvyj) (m), Нью- (n'ju)
new moon	новолуние (n), новая луна (f)
newbie	новичок (novičók) (m)
newborn	новорождённый (novorožd'ónnyj) (m)
newfangled	новомодный (novomódnyj)
newness	новизна (novizná) (f)
newspaper	газета (gazeta) (f)
newt	тритон (tritón) (m)
newton	ньютон (n’júton) (m)
next	ближайший (bližajšij), соседний (sos'édnij)
next	вблизи (vblizí), возле (vózl'e), около (ókolo), подле (pódl'e), рядом (r'ádom), по соседству (po sos'édstvu)
next	возле (vózle)
next	затем (zat'ém), потом (potóm), после (pósl'e)
next	следующий (sl'édujuščij)
next	следующий (sl'édujuščij), будущий (búduščij), грядущий (gr'adúščij)
next	следующий (slédujuščij)
nice	милый (mílyj) "of a person", приятный (prijátnyj) "of a thing"
nice	симпатичный (simpatíčnyj)
nice	тонкий (tónkij)
nicety	точность (tóčnost’) (f)
niche	ниша (f)
niche	ниша (f)
niche	ниша (f)
nickel	никель (níkel’) (m)
nickname	псевдоним, прозвище
niece	племянница (plemjánnitsa) (f)
niece	племянница (plemjánnitsa) (f)
niece	племянница (plemjánnitsa) (f)
nigger	негр (negr) (m)
night	ночь (noč’) (f)
nightfall	наступление ночи (nastuplénije nóči) (n)
nightingale	соловей (solovéj) (m)
nightjar	козодой /kozodój/ (m)
nimbus	дождевое облако (dožd'evóje óblako) (n)
nimbus	нимб (nimb) (m), ореол (or'eól) (m)
nine	девятка (devjátka) (f)
nine	девять (dévjat’)
nineteen	девятнадцать (devjatnádtsat’)
ninety	девяносто (devjanósto)
ninety-eight	девяносто восемь (devjanósto vósem’)
ninety-five	девяносто пять (devjanósto pjat’)
ninety-four	девяносто четыре (devjanósto četýre)
ninety-nine	девяносто девять (devjanósto dévjat’)
ninety-one	девяносто один (devjanósto odín)
ninety-seven	девяносто семь (devjanósto sem’)
ninety-six	девяносто шесть (devjanósto šest’)
ninety-three	девяносто три (devjanósto tri)
ninety-two	девяносто два (devjanósto dva)
ninja	ниндзя (nindzya)
ninny	нюня (n'ún'a) (m)/(f)
ninth	девятый ("abbreviation" 9-ый)
nip in the bud	убить в зародыше
nitrogen	азот (azót) (m)
no	воспрещается (vospreščájetsja) ("followed by an imperfective infinitive")
no	нет (nyet)
no	нет (nyet, "with the noun in the genitive case)
no smoking	воспрещается курить (vospreščáetsja kurít’)
no strings attached	без задней мысли
no.	№ (nómer)
nobility	дворянство (dvor'ánstvo) (n)
nobody	никто
noise	шум (1), шумы (3)
nominative	именительный (imenítel’nyj) (m)
nominative	именительный падеж (imenítel’nyj padéž) (m)
nominative case	именительный падеж (imenítel’nyj padéž) (m)
nonsense	Ерунда (f), Нонсенс (m)
noodle	лапша) (f)
noon	полдень (póld'en’) (m)
north	север (sever) (m)
north pole	северный полюс (sévernyj póljus) (m)
north pole	северный полюс (sévernyj póljus) (m)
northeast	северо-восток (sévero-vostók) (m)
northeast	северо-восточный (sévero-vostóčnyj) (m)
northwest	северо-запад (sévero-západ) (m)
northwest	северо-западный (sévero-západnyj)
nose	нос (nos) (m)
nose	совать нос в чужие дела (sovát’ nos v čužíje delá) (2)
nosophilia	нозофили́я (nozofilíja) (f)
nostril	ноздря (f)
not	не (ne)
not at all	вовсе нет
not at all	не за что
not bad	ничего (ničevó)
nothing	ничто
notoriety	дурная слава "'f"'
noun	имя существительное (ímja suščestvítel’noje) (n)
novel	роман (m) (roman)
novel	романа "m/f/n" (romana)
novelist	романист (m) (romanist)
now	а сейчас (a s'ejčás)
now	сейчас (s'ejčás), теперь (t'ep'ér’)
now and then	то и дело, временами
now that's what I'm talking about	вот это по мне, вот это я понимаю
nozzle	сопло (n) (soplo)
nu	ню (nju)
nuclear winter	ядерная зима (jád'ernaja zimá) (f)
nucleus	ядро (jadró) (n) (1,2,3,4)
nudiustertian	позавчерашний (pozavčerášnij)
nugatory	недействительный
nugatory	недействительный
nugatory	пустячный, никчёмный
numb	онемелый (m), онемелая (f), онемелое (n), онемелые (pl)
number	насчитывать (nasčítyvat'), исчисляться (isčislját’s’a)
number	номер (nómer) (m)
number	нумеровать (numerovát’)
number	число (čisló) (n)
number	число (čisló) (n)
number	число (čisló) (n), количество (kolíčestvo) (n)
numeral	числительное (n)
numismatist	нумизмат (m)
nun	монахиня (monáχin'a) (f), монашка (monáška) (f)
nunatak	нунатак (nunaták) (m)
nut	гайка (gájka) (f)
nut	орех (oréχ) (m)
nut	сумасшедший (sumasšédšij) (m), сумасшедшая (sumasšédšaja) (f)
nut	яйцо (jajtsó) (n)
nuthatch	поползень /pópolz'en'/ (m)
nutmeg	мускатный орех (muskátnyj orékh) (m)
nutritional	питательный (m), питательная (f), питательное (n), питательные (pl)
nuts and bolts	азы
oak	дуб (m)
oak	дуб (m)
oak	дубовый (dubóvyj)
oar	весло
oat	овёс (m) (ov'os)
oath	клятва (kljátva) (f)
oath	присяга (prisjága) (f)
oath	проклятие (prokljátije) (n)
obedience	послушание (poslušánije)
obese	то́лстый, по́лный, ту́чный
obey	подчиняться
objection	возражение (vozražénije) (n)
objection	возражение (vozražénije) (n)
objection	возражение (vozražénije) (n), протест (prot'ést) (m)
obligation	обязательство (n) (obyazatel'stvo)
obligatory	обязательный, непременный
oblique case	косвенный падеж (m)
oboe	гобой (gobój) (m)
ocean	океан (okeán) (m)
octagon	восьмиугольник (m)
octopus	осьминог (os’minóg) (m)
odd	нечётный
odd	странный
oddments	всякая всячина (f)
odds and ends	всякая всячина (vs'ákaja vs'áčina) (f)
odour	запах (zápakh) (m)
oesophagus	пищевод (piščevód) (m)
of course	конечно (konéčno), а как же (a kak že), ещё бы (ješčó by)
of late	в последнее время
off and on	урывками
often	часто
ogonek	c-образный хвостик (es-óbraznyj khvóstik) (m)
oh my God	Боже мой
ohm	ом (m)
oil	масло (máslo) (n)
oil	нефть (neft') (f)
oily	елейный (jel'éjnyj)
oily	масляный (másl'anyj)
oily	масляный (másl'anyj), маслянистый (masl'anístyj)
oink	хрю (χrju)
oink	хрюкать (χrjúkat’)
old	"(dative case)" ему пять лет.
old fart	старый хрыч, старпер
old man	дед (ded) (m), дедушка (déduška) (m)
olfactory	обонятельный (obon'át'el'nyj)
olive	олива (olíva) (f)
olive	оливка (olívka) (f), маслина (maslína) (f)
olive	оливковый (olívkovyj)
olive	оливковый (olívkovyj)
olive tree	олива (olíva) (f)
omega	омега omɛ́ga)) (f)
omelette	омлет (omlét) (m)
omnipotent	всемогущий (vsemogúščij)
omnium-gatherum	всякая всячина (f)
on	на
on	на
on air	в эфире (v efír'e)
on all fours	на карачках, на четвереньках
on one's deathbed	на смертном одре
on one's feet	встать на ноги
on purpose	намеренно, нарочно
on sufferance	скрепя сердце
on the button	точь в точь,тютелька в тютельку
on the other hand	С другой стороны
on the tip of one's tongue	на языке вертится
on the whole	в целом
on time	вовремя /vóvr'em'a/
on tiptoe	на цыпочках
once	как только /kak tól'ko/
once	один раз /odín raz/ (1), однажды /odnáždy/ (1,2)
once bitten, twice shy	Обжегшись на молоке, будешь дуть и на воду
once or twice	Пару раз
once upon a time	давным-давно /davným-davnó/, в тридевятом царстве, в тридесятом государстве /v trid'ev'átom cárstv'e, v trid'es'átom gosudárstv'e/
one	единица (jedinítsa) (f)
one	один (odín) (m), одна (odná) (f), одно (odnó) (n)
one another	друг друга (drug drúga)
one brick short of a full load	[башню снесло
one by one	один за другим,по одному
one hundred and one	сто один
one hundred one	сто один
one's days are numbered	Его/Ее дни сочтены
onion	лук (luk) (m), лук луковый (luk lukoviy), луковица (lukovitsa)
opal	опал (opál) (m)
open	открывать/открыть (otkryvát'/otkrýt')
open	открывать/открыть (otkryvát'/otkrýt'), отворять/отворить (otvor'át'/otvorít') "a door only"
open	открываться/открыться (otkryvát's'a/otkrýt's'a)
open	открываться/открыться (otkryvát's'a/otkrýt's'a), отворяться/отвориться (otvor'át's'a/otvorít's'a) "a door only"
open	открытый (otkrýtyj)
open	открытый (otkrýtyj)
open	открытый (otkrýtyj)
open	открытый (otkrýtyj)
open	поднимать/поднять (podnimát'/podn'át')
open	разворачивать/развернуть (razvoráčivat'/razvernút')
open sea	открытое море (otkrýtoje mór'e) (n)
operating system	операционная система (operatsiónnaja sistéma) (f)
opinion	мнение (mnénije) (n)
opportunist	оппортунист
or	золотой (zolotój)
or	или (íli)
or else	А не то...
oral sex	оральный секс (orál’nyj seks) (m)
orange	апельсин (apel’sín) (m)
orange	апельсиновое дерево (apelsínovoje dérevo) (n)
orange	оранжевый (oránževyj)
orange	оранжевый (oránževyj)
orangutan	орангутан (orangután) (m)
